id,Gender.self,Year.self,Born.self,Hukou.self,Live.self,Marriage.self,Height.self,Weight.self,Looking.self,Personality.self,Edu.self,Eduno.self,top.self,Abroad.self,Major.self,Job.self,Salary.self,Apt.self,Family.self,Hobby.self,Other.self,interesting.self,Gender.wanted,Year.max.wanted,Year.min.wanted,Year.text.wanted,Hukou.wanted,Live.wanted,Marriage.wanted,Height.min.wanted,Looking.wanted,Personality.wanted,Hobby.wanted,Edu.min.wanted,Edu.min.n.wanted,Job.wanted,Salary.min.wanted,Apt.wanted,Family.wanted,Other.wanted,interesting.wanted,Similar.wanted
1,女性,1987,N,N,N,N,1.65,N,皮肤白，大眼睛,N,本科,4,重点大学毕业,N,N,银行,200000,N,N,N,居住地在长宁区,大眼睛,男性,1980,N,1980年后出生,上海户口,N,N,1.75,N,有责任心,无不良嗜好,N,N,稳定,N,有婚房,N,81年不考虑。家境较好，有独立婚房。靠近长宁区,81年不考虑,N
2,男性,1983,浙江,有上海户口,N,N,1.83,N,N,N,研究生,5,N,N,金融,N,300000,有房,父亲法律工作者，母亲退休,N,上海房产两套，其他地方多套,N,女性,1987,N,1987年后出生,N,N,N,1.65,颜值高,N,N,本科,4,N,N,要有婚房,单亲家庭勿扰,89年不要，独生女，家庭条件相当,89年不要,Y
3,男性,1970,上海,有上海户口,N,单身,1.75,N,N,N,N,N,N,Y,N,日企经理,N,有房,N,N,备有婚房,N,女性,N,N,N,上海户口,N,未婚,N,N,温柔贤惠,N,N,N,白领工作,N,N,N,条件相当,白领工作,Y
4,男性,1983,上海,有上海户口,上海,N,1.8,N,N,N,本科,4,N,N,N,汽车企业,120000,有房,N,N,备有婚房,N,女性,1986,1988,1986年到1988年间出生,N,N,N,1.64,N,本分,N,本科,4,稳定工作,N,N,N,N,本分,N
5,女性,1988,上海,有上海户口,上海,N,1.69,N,清纯、秀丽、有气质,善良、进取、阳光、有责任心,研究生,5,重点大学毕业,N,N,大型国企,200000,N,知识分子家庭,N,N,N,男性,1983,1988,1983年到1988年间出生,N,N,未婚,1.75,相貌姣好,N,不抽烟,本科,4,N,N,N,N,条件相当,不抽烟,Y
6,男性,1983,N,有上海户口,N,N,1.7,N,长相端正,正直、本分、上进、开朗、知识面较广,本科,4,N,N,N,德企客户经理,162000,有房,纯朴家风，父母均为事业单位退休,无不良嗜好，不烟酒,备有婚房,纯朴家风,女性,N,N,N,N,N,未婚,1.6,不胖,N,N,本科,4,N,N,N,N,有良好素养，家教好,不胖,N
7,女性,1989,湖南,没有上海户口,N,N,1.6,N,N,上进、文静、孝顺,本科,4,重点大学毕业,N,N,N,240000,N,N,无不良嗜好,N,N,男性,1982,1988,1982年到1988年间出生,N,N,未婚,1.7,N,N,不抽烟、不贪酒,N,N,N,300000,有婚房,N,N,不贪酒,N
8,男性,1980,N,有上海户口,N,单身,1.74,N,N,N,本科,4,N,N,N,网络工程师,100000,有房,N,N,静安区独立婚房,N,女性,1984,1985,1984年到1985年间出生,上海户口,N,N,N,不要胖,N,N,N,N,工作稳定,N,N,N,N,不要胖,N
9,男性,1991,N,有上海户口,N,N,1.8,N,N,积极向上、随和、有责任心,研究生,5,N,N,N,金融,N,有房,N,N,备有婚房,N,女性,1991,N,1991年后出生,N,N,N,1.62,N,乐观开朗，容易相处,N,本科,4,N,N,要有婚房,N,工作不要太忙,不要太忙,N
10,男性,1983,N,有上海户口,N,N,1.75,N,N,N,本科,4,N,N,N,财务主管,660000,有房,N,N,备有婚房,N,女性,1983,N,1983年后出生,N,N,N,1.58,不要太胖,本分,N,中专,1,N,N,N,N,N,不要太胖,N
