,soc,Element Name,id,label,Data Value,computerization
0,11-1011,Assisting and Caring for Others,70,0,2.205,0.015
1,11-1011,"Cramped Work Space, Awkward Positions",70,0,1.415,0.015
2,11-1011,Fine Arts,70,0,0.915,0.015
3,11-1011,Finger Dexterity,70,0,2,0.015
4,11-1011,Manual Dexterity,70,0,0,0.015
5,11-1011,Negotiation,70,0,3.935,0.015
6,11-1011,Originality,70,0,4.125,0.015
7,11-1011,Persuasion,70,0,4.44,0.015
8,11-1011,Social Perceptiveness,70,0,3.935,0.015
9,11-3071,Assisting and Caring for Others,328,0,2.723333333,0.59
10,11-3071,"Cramped Work Space, Awkward Positions",328,0,1.496666667,0.59
11,11-3071,Fine Arts,328,0,0.43,0.59
12,11-3071,Finger Dexterity,328,0,1.75,0.59
13,11-3071,Manual Dexterity,328,0,1.126666667,0.59
14,11-3071,Negotiation,328,0,3.583333333,0.59
15,11-3071,Originality,328,0,3.333333333,0.59
16,11-3071,Persuasion,328,0,3.583333333,0.59
17,11-3071,Social Perceptiveness,328,0,3.666666667,0.59
18,11-9031,Assisting and Caring for Others,71,0,4.28,0.015
19,11-9031,"Cramped Work Space, Awkward Positions",71,0,1.15,0.015
20,11-9031,Fine Arts,71,0,2.26,0.015
21,11-9031,Finger Dexterity,71,0,1.75,0.015
22,11-9031,Manual Dexterity,71,0,1,0.015
23,11-9031,Negotiation,71,0,3.62,0.015
24,11-9031,Originality,71,0,3.5,0.015
25,11-9031,Persuasion,71,0,3.5,0.015
26,11-9031,Social Perceptiveness,71,0,3.88,0.015
27,11-9151,Assisting and Caring for Others,33,0,4.01,0.0067
28,11-9151,"Cramped Work Space, Awkward Positions",33,0,1.09,0.0067
29,11-9151,Fine Arts,33,0,0.79,0.0067
30,11-9151,Finger Dexterity,33,0,1.88,0.0067
31,11-9151,Manual Dexterity,33,0,0.62,0.0067
32,11-9151,Negotiation,33,0,3.75,0.0067
33,11-9151,Originality,33,0,3.75,0.0067
34,11-9151,Persuasion,33,0,3.75,0.0067
35,11-9151,Social Perceptiveness,33,0,4.62,0.0067
36,13-1031,Assisting and Caring for Others,675,1,2.385,0.98
37,13-1031,"Cramped Work Space, Awkward Positions",675,1,1.36,0.98
38,13-1031,Fine Arts,675,1,0.175,0.98
39,13-1031,Finger Dexterity,675,1,2.315,0.98
40,13-1031,Manual Dexterity,675,1,1.185,0.98
41,13-1031,Negotiation,675,1,3.685,0.98
42,13-1031,Originality,675,1,2.5,0.98
43,13-1031,Persuasion,675,1,3.19,0.98
44,13-1031,Social Perceptiveness,675,1,3.25,0.98
45,13-1051,Assisting and Caring for Others,321,1,1.81,0.57
46,13-1051,"Cramped Work Space, Awkward Positions",321,1,1.59,0.57
47,13-1051,Fine Arts,321,1,0.29,0.57
48,13-1051,Finger Dexterity,321,1,1.25,0.57
49,13-1051,Manual Dexterity,321,1,0.25,0.57
50,13-1051,Negotiation,321,1,3.38,0.57
51,13-1051,Originality,321,1,3,0.57
