pagenum,url,title,time
1,http://health.people.com.cn/n1/2020/0606/c14739-31737564.html,[全国首部新型冠状病毒肺炎中医医案类专著在京举行新书首发仪式],2020-06-06 10:33:49
1,http://health.people.com.cn/n1/2020/0606/c14739-31737424.html,为维护人民健康提供有力保障,2020-06-06 08:48:46
1,http://politics.people.com.cn/n1/2020/0606/c1001-31737282.html,为维护人民健康提供有力保障,2020-06-06 05:09:28
1,http://opinion.people.com.cn/n1/2020/0606/c1003-31737274.html,人民日报评论员：强化公共卫生体系的科技支撑,2020-06-06 05:07:22
1,http://health.people.com.cn/n1/2020/0605/c14739-31736476.html,防控疫情，中医药发挥了重要作用,2020-06-05 08:36:27
1,http://politics.people.com.cn/n1/2020/0605/c1001-31735966.html,防控疫情，中医药发挥了重要作用(健康直通车·第20站),2020-06-05 06:01:37
1,http://world.people.com.cn/n1/2020/0604/c1002-31735815.html,“中国政府联合工作组增强了塔吉克斯坦战胜疫情的决心和信心”,2020-06-04 20:39:18
1,http://www.people.com.cn/n1/2020/0604/c32306-31735734.html,黄璐琦：攻克关键核心技术自力更生是法宝,2020-06-04 16:43:15
1,http://cpc.people.com.cn/n1/2020/0604/c419242-31735244.html,为构建强大公共卫生体系贡献力量,2020-06-04 09:13:09
1,http://health.people.com.cn/n1/2020/0604/c14739-31734772.html,人民安全是国家安全的基石,2020-06-04 08:09:11
1,http://cpc.people.com.cn/n1/2020/0604/c64387-31734592.html,人民安全是国家安全的基石,2020-06-04 07:16:12
1,http://politics.people.com.cn/n1/2020/0604/c1001-31734509.html,人民安全是国家安全的基石,2020-06-04 05:36:40
1,http://finance.people.com.cn/n1/2020/0603/c1004-31734336.html,中医药：“大考”之后再出发,2020-06-03 16:39:13
1,http://health.people.com.cn/n1/2020/0603/c14739-31734124.html,"再次强调""人民至上"" 习近平提出维护人民健康新要求",2020-06-03 13:35:30
1,http://acftu.people.com.cn/n1/2020/0603/c67583-31733870.html,"习近平主持专家学者座谈会强调 
构建起强大的公共卫生体系 为维护人民健康提供有力保障",2020-06-03 09:36:00
1,http://gongyi.people.com.cn/n1/2020/0603/c151132-31733672.html,为疫情防控常态化下的健康中国护航,2020-06-03 08:49:37
1,http://tyzx.people.cn/n1/2020/0603/c372194-31733600.html,"习近平主持专家学者座谈会强调
构建起强大的公共卫生体系 为维护人民健康提供有力保障",2020-06-03 08:40:19
1,http://cpc.people.com.cn/n1/2020/0603/c164113-31733575.html,"再次强调""人民至上"" 习近平提出维护人民健康新要求",2020-06-03 08:37:40
1,http://health.people.com.cn/n1/2020/0603/c14739-31733436.html,构建起强大的公共卫生体系 为维护人民健康提供有力保障,2020-06-03 08:26:15
1,http://health.people.com.cn/n1/2020/0603/c14739-31733333.html,时刻防范卫生健康领域重大风险,2020-06-03 08:14:50
1,http://cpc.people.com.cn/n1/2020/0603/c64387-31733272.html,向总书记汇报,2020-06-03 08:08:15
1,http://theory.people.com.cn/n1/2020/0603/c40531-31733217.html,病毒没有国界疫情不分种族 人类命运休戚与共,2020-06-03 07:57:58
1,http://chuxin.people.cn/n1/2020/0603/c428144-31733200.html,"习近平主持专家学者座谈会强调 
构建起强大的公共卫生体系 为维护人民健康提供有力保障",2020-06-03 07:54:58
1,http://health.people.com.cn/n1/2020/0603/c14739-31733191.html,构建起强大的公共卫生体系 为维护人民健康提供有力保障,2020-06-03 07:53:06
1,http://cpc.people.com.cn/n1/2020/0603/c64094-31733116.html,习近平主持专家学者座谈会强调 构建起强大的公共卫生体系 为维护人民健康提供有力保障,2020-06-03 07:16:45
1,http://politics.people.com.cn/n1/2020/0603/c1024-31733032.html,构建起强大的公共卫生体系 为维护人民健康提供有力保障,2020-06-03 05:11:02
1,http://politics.people.com.cn/n1/2020/0602/c1024-31732990.html,习近平主持专家学者座谈会强调 构建起强大的公共卫生体系 为维护人民健康提供有力保障,2020-06-02 20:44:05
1,http://cpc.people.com.cn/n1/2020/0602/c64094-31732989.html,习近平主持专家学者座谈会强调 构建起强大的公共卫生体系 为维护人民健康提供有力保障 李克强王沪宁出席,2020-06-02 20:43:57
1,http://kpzg.people.com.cn/n1/2020/0602/c404214-31732650.html,院士专家分享国内“战疫”经验 共议“中西医并重 全球抗疫”,2020-06-02 12:55:42
1,http://tyzx.people.cn/n1/2020/0601/c372194-31730989.html,"民主党派围绕统筹推进疫情防控和经济社会发展工作
建言献策",2020-06-01 09:07:18
1,http://cpc.people.com.cn/n1/2020/0601/c64387-31730934.html,科技创新浪潮涌——内蒙古自治区科技工作者创新争先纪实,2020-06-01 09:01:59
1,http://health.people.com.cn/n1/2020/0601/c14739-31730669.html,促进中医药传承创新发展,2020-06-01 08:33:46
1,http://health.people.com.cn/n1/2020/0601/c14739-31730642.html,[亲历者讲述中医抗疫故事],2020-06-01 08:30:51
1,http://theory.people.com.cn/n1/2020/0601/c40531-31730390.html,促进中医药传承创新发展,2020-06-01 08:06:21
1,http://opinion.people.com.cn/n1/2020/0601/c1003-31730239.html,人民日报：促进中医药传承创新发展,2020-06-01 06:39:32
1,http://society.people.com.cn/n1/2020/0601/c1008-31730227.html,[亲历者讲述中医抗疫故事（深度观察）],2020-06-01 05:52:24
1,http://politics.people.com.cn/n1/2020/0601/c1001-31730196.html,促进中医药传承创新发展,2020-06-01 05:42:41
1,http://health.people.com.cn/n1/2020/0531/c14739-31729970.html,[刘波：借助医学影像更好地研究中医、发展中医],2020-05-31 09:42:27
1,http://cpc.people.com.cn/n1/2020/0531/c64387-31729939.html,没有什么困难可以压倒中国人民和中国科技工作者,2020-05-31 08:43:19
1,http://cpc.people.com.cn/n1/2020/0531/c64387-31729893.html,关于2019年国民经济和社会发展计划执行情况与2020年国民经济和社会发展计划草案的报告,2020-05-31 08:07:39
1,http://money.people.com.cn/n1/2020/0531/c42877-31729869.html,关于2019年国民经济和社会发展计划执行情况与2020年国民经济和社会发展计划草案的报告,2020-05-31 07:24:39
1,http://politics.people.com.cn/n1/2020/0531/c1001-31729844.html,关于2019年国民经济和社会发展计划执行情况与2020年国民经济和社会发展计划草案的报告,2020-05-31 05:08:42
1,http://health.people.com.cn/n1/2020/0530/c14739-31729810.html,[刘波教授：借助医学影像更好的研究中医、发展中医],2020-05-30 22:01:15
1,http://lianghui.people.com.cn/2020npc/n1/2020/0530/c431623-31729795.html,关于2019年国民经济和社会发展计划执行情况与2020年国民经济和社会发展计划草案的报告,2020-05-30 19:42:12
1,http://kpzg.people.com.cn/n1/2020/0530/c432558-31729748.html,有梦想、善创新、肯实干 致敬全国科技工作者！,2020-05-30 14:24:35
1,http://kpzg.people.com.cn/n1/2020/0530/c404214-31729715.html,第二届全国创新争先奖表彰奖励大会在京举行,2020-05-30 13:03:31
1,http://scitech.people.com.cn/n1/2020/0530/c1007-31729699.html,有梦想、善创新、肯实干 致敬全国科技工作者！,2020-05-30 11:54:34
1,http://scitech.people.com.cn/n1/2020/0530/c1007-31729484.html,科技为民  奋斗有我,2020-05-30 04:28:14
1,http://kpzg.people.com.cn/n1/2020/0528/c432831-31727720.html,第二届全国创新争先奖章获得者张伯礼简介,2020-05-28 15:55:03
1,http://tyzx.people.cn/n1/2020/0528/c372194-31727450.html,民革界别委员谈履职议报告,2020-05-28 12:57:35
2,http://xiaofei.people.com.cn/n1/2020/0528/c425315-31727423.html,"[声称""两款药物对新冠有疗效"" 贵州百灵:未收到核查通知]",2020-05-28 12:04:24
2,http://tyzx.people.cn/n1/2020/0528/c372194-31727095.html,高质量共建“一带一路”,2020-05-28 08:58:41
2,http://scitech.people.com.cn/n1/2020/0528/c1007-31726889.html,中医药振兴 代表委员开出这样一剂“科技药方”,2020-05-28 08:26:03
2,http://yuqing.people.com.cn/n1/2020/0528/c209043-31726762.html,代表委员谈巩固疫情防控成果 时刻绷紧疫情防控这根弦,2020-05-28 08:17:35
2,http://finance.people.com.cn/n1/2020/0528/c1004-31726662.html,"[声称""两款药物对新冠有疗效"" 贵州百灵:未收到核查通知]",2020-05-28 08:02:47
2,http://theory.people.com.cn/n1/2020/0528/c40531-31726650.html,时刻绷紧疫情防控这根弦,2020-05-28 08:00:54
2,http://health.people.com.cn/n1/2020/0528/c14739-31726618.html,代表委员谈巩固疫情防控成果：时刻绷紧疫情防控这根弦,2020-05-28 07:48:50
2,http://health.people.com.cn/n1/2020/0528/c14739-31726618.html,代表委员谈巩固疫情防控成果：时刻绷紧疫情防控这根弦,2020-05-28 07:48:50
2,http://health.people.com.cn/n1/2020/0528/c14739-31726608.html,中医药振兴 代表委员开出这样一剂“科技药方”,2020-05-28 07:44:29
2,http://lianghui.people.com.cn/2020npc/n1/2020/0528/c431623-31726504.html,时刻绷紧疫情防控这根弦,2020-05-28 05:53:59
2,http://lianghui.people.com.cn/2020cppcc/n1/2020/0527/c432428-31726419.html,重点助力脱贫攻坚 履行参政使命担当,2020-05-27 22:00:33
2,http://health.people.com.cn/n1/2020/0527/c14739-31726366.html,代表委员共话中医药：补短板、建体系、抓机遇 以“疗效”推动中医药走向世界,2020-05-27 20:08:35
2,http://world.people.com.cn/n1/2020/0527/c1002-31726299.html,万里驰援传真情,2020-05-27 17:52:17
2,http://cpc.people.com.cn/n1/2020/0527/c69113-31725796.html,关于广安市2019年预算执行情况和2020年预算草案的报告,2020-05-27 11:11:46
2,http://health.people.com.cn/n1/2020/0527/c14739-31725781.html,[中医养生，从“养心”出发提高免疫力],2020-05-27 11:01:30
2,http://health.people.com.cn/n1/2020/0527/c14739-31725333.html,[抗击新冠肺炎疫情的另一场“大考”],2020-05-27 08:39:18
2,http://art.people.com.cn/n1/2020/0527/c41426-31725292.html,首届“非遗购物节”多家网络平台助力传承人拓宽销售渠道,2020-05-27 08:35:41
2,http://health.people.com.cn/n1/2020/0527/c14739-31725216.html,中医药亟需纳入国家传染病防治体系,2020-05-27 08:29:04
2,http://health.people.com.cn/n1/2020/0527/c14739-31725196.html,加大传统医药“非遗”比例，有益中医药传承与发展,2020-05-27 08:27:47
2,http://health.people.com.cn/n1/2020/0527/c14739-31725185.html,中医药防控进社区，“武昌模式”有示范意义,2020-05-27 08:26:55
